page,superficie,prix,adresse,image_lien
1,300,3 000 000,,https://images.coinafrique.com/thumb_5424081_uploaded_image1_1752578419.jpg
1,,25 000 000,Sénégal,https://images.coinafrique.com/thumb_5404128_uploaded_image1_1751538902.jpg
1,150,20 000 000,,https://images.coinafrique.com/thumb_5424023_uploaded_image1_1752576210.jpg
1,30000,650 000 000,,https://images.coinafrique.com/thumb_5414445_uploaded_image1_1752056091.jpg
1,150,6 000 000,,https://images.coinafrique.com/thumb_5423516_uploaded_image1_1752540137.jpg
1,150,17 500 000,Sénégal,https://images.coinafrique.com/thumb_5422835_uploaded_image1_1752506387.jpg
1,450,6 000 000,,https://images.coinafrique.com/thumb_5422496_uploaded_image1_1752493902.jpg
1,500,750 000 000,Sénégal,https://images.coinafrique.com/thumb_5375134_uploaded_image1_1749956790.jpg
1,829,2 400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5421511_uploaded_image1_1752432442.jpg
1,,180 000 000,Sénégal,https://images.coinafrique.com/thumb_5421181_uploaded_image1_1752413572.jpg
1,150,7 000 000,,https://images.coinafrique.com/thumb_5421111_uploaded_image1_1752410722.jpg
1,.,2 950 000,,https://images.coinafrique.com/thumb_5373555_uploaded_image1_1749855090.jpg
1,,2 000 000,,https://images.coinafrique.com/thumb_5420029_uploaded_image1_1752325840.jpg
1,300,5 000 000,,https://images.coinafrique.com/thumb_5419745_uploaded_image1_1752316609.jpg
1,300,7 500 000,,https://images.coinafrique.com/thumb_5419713_uploaded_image1_1752315685.jpg
1,225,5 500 000,Sénégal,https://images.coinafrique.com/thumb_5418763_uploaded_image1_1752250962.jpg
1,300,160 000 000,Sénégal,https://images.coinafrique.com/thumb_5371142_uploaded_image1_1749731049.jpg
1,200,5 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418595_uploaded_image1_1752243637.jpg
1,300,16 000 000,,https://images.coinafrique.com/thumb_5418500_uploaded_image1_1752239909.jpg
1,920,80 000 000,,https://images.coinafrique.com/thumb_5418425_uploaded_image1_1752237372.jpg
1,150,15 000 000,,https://images.coinafrique.com/thumb_5417413_uploaded_image1_1752179280.jpg
1,180,2 500 000,,https://images.coinafrique.com/thumb_5417235_uploaded_image1_1752171817.jpg
2,150,7 000 000,Sénégal,https://images.coinafrique.com/thumb_5416562_uploaded_image1_1752149051.jpg
2,150,40 000 000,Sénégal,https://images.coinafrique.com/thumb_5415694_uploaded_image1_1752102615.jpg
2,7300,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5390202_uploaded_image1_1750783962.jpg
2,,1 200 000,Sénégal,https://images.coinafrique.com/thumb_5399023_uploaded_image1_1751300968.jpg
2,,12 500 000,Sénégal,https://images.coinafrique.com/thumb_5415115_uploaded_image1_1752078369.jpg
2,201,85 000 000,Sénégal,https://images.coinafrique.com/thumb_5389908_uploaded_image1_1750772489.jpg
2,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5398697_uploaded_image1_1751288961.jpg
2,262,280 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5367583_uploaded_image1_1749545852.jpg
2,150,6 500 000,,https://images.coinafrique.com/thumb_5414486_uploaded_image1_1752057551.jpg
2,,4 500 000,,https://images.coinafrique.com/thumb_5414313_uploaded_image1_1752052168.jpg
2,300,12 500 000,,https://images.coinafrique.com/thumb_5413763_uploaded_image1_1752016312.jpg
2,225,3 500 000,,https://images.coinafrique.com/thumb_5413757_uploaded_image1_1752015972.jpg
2,150,130 000 000,Sénégal,https://images.coinafrique.com/thumb_5413729_uploaded_image1_1752013856.jpg
2,150,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5413540_uploaded_image1_1752004542.jpg
2,325,25 000 000,,https://images.coinafrique.com/thumb_5413381_uploaded_image1_1751998948.jpg
2,1,60 000 000,,https://images.coinafrique.com/thumb_5413139_uploaded_image1_1751990548.jpg
2,300,7 000 000,,https://images.coinafrique.com/thumb_5413043_uploaded_image1_1751987309.jpg
2,150,45 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5412980_uploaded_image1_1751985425.jpg
2,1800,900 000,Sénégal,https://images.coinafrique.com/thumb_5369235_uploaded_image1_1749636145.jpg
2,150,3 000 000,Sénégal,https://images.coinafrique.com/thumb_5411822_uploaded_image1_1751921225.jpg
2,200,18 000 000,,https://images.coinafrique.com/thumb_5410909_uploaded_image1_1751886632.jpg
2,5,40 000,Sénégal,https://images.coinafrique.com/thumb_5410399_uploaded_image1_1751854822.jpg
2,1200,120 000 000,,https://images.coinafrique.com/thumb_5410180_uploaded_image1_1751839342.jpg
2,150,20 000 000,,https://images.coinafrique.com/thumb_5409819_uploaded_image1_1751826457.jpg
2,300,33 000 000,,https://images.coinafrique.com/thumb_5409213_uploaded_image1_1751787663.jpg
2,700,800 000 000,Sénégal,https://images.coinafrique.com/thumb_5374521_uploaded_image1_1749918425.jpg
2,,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5408527_uploaded_image2_1751728458.jpeg
2,,1 900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5408518_uploaded_image1_1751728181.jpg
2,,25 000 000,,https://images.coinafrique.com/thumb_5408283_uploaded_image1_1751719126.jpg
2,225,10 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5408009_uploaded_image1_1751705516.jpg
2,150,40 000 000,Sénégal,https://images.coinafrique.com/thumb_5379378_uploaded_image1_1750189533.jpg
